"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - photo view","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - photo view","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative feedback - hide_clicks","Lifetime Negative feedback - hide_all_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
882604215147359_1774970532577385,https://www.facebook.com/thetritonnews/posts/1774970532577385,"A 185-foot pole by Los Angeles-based artist Mark Bradford, entitled &quot;What Hath God Wrought?&quot; will be placed in Revelle College later this summer.",Link,,,"01/19/2018 10:00:52 AM"," ",2341,2341,0,4576,4576,0,439,418,618,0,0,3578,1725,0,0,363,0,0,0,0,0,0,0,0,0,0,52,2,13,52,2,17,230,298,,298,320,,,,,
882604215147359_1772567739484331,https://www.facebook.com/thetritonnews/posts/1772567739484331,"Congressman John Lewis will be the commencement speaker for the class of 2018 on Saturday, June 16.",Link,,,"01/17/2018 04:24:52 PM"," ",17494,17494,0,37932,37932,0,1840,1297,2050,1,1,6338,2591,0,0,630,0,0,0,0,0,0,0,0,0,0,996,56,100,1079,61,131,869,638,,1326,724,,1,,1,
882604215147359_1772486542825784,https://www.facebook.com/thetritonnews/posts/1772486542825784,"If one of your resolutions was to listen to more new music, we got you.",Link,,,"01/17/2018 03:00:58 PM"," ",1214,1214,0,2386,2386,0,143,127,156,0,0,1884,969,0,0,118,0,0,0,0,0,0,0,0,0,0,38,1,1,41,1,1,54,78,,65,91,,,,,
882604215147359_1770913742983064,https://www.facebook.com/thetritonnews/posts/1770913742983064,"The contract raises the cost of all bottled Coca-Cola products to students by 3 percent every year for the next seven years.",Link,,,"01/16/2018 09:00:56 AM"," ",4523,4523,0,10894,10894,0,747,707,1387,0,0,5085,1847,0,0,513,0,0,0,0,0,0,0,0,0,0,114,8,14,134,8,29,518,321,,992,395,,,,,
882604215147359_1766305440110561,https://www.facebook.com/thetritonnews/posts/1766305440110561,"UCSD’s Failure as a Sanctuary Campus | THE TRITON",Link,,,"01/12/2018 08:00:39 PM"," ",3461,3461,0,7390,7390,0,710,653,1048,0,0,4086,1890,0,0,434,0,0,0,0,0,0,0,0,0,0,117,10,9,140,10,16,286,498,,470,578,,,,,
882604215147359_1766012183473220,https://www.facebook.com/thetritonnews/posts/1766012183473220,"“He is out. And it's amazing,” said Jacob Sapochnick, Yakobi’s attorney. “I went this morning to visit him. And while I was there, they told me he was going to be released.”",Link,,,"01/12/2018 02:31:17 PM"," ",7803,7803,0,17791,17791,0,1450,1044,1559,0,0,5624,2231,0,0,544,0,0,0,0,0,0,0,0,0,0,621,42,11,714,44,11,524,657,,766,793,,,,,
882604215147359_1765911773483261,https://www.facebook.com/thetritonnews/posts/1765911773483261,"The changes come after the program's $12,000 Fall Quarter budget was expended in two and a half weeks.",Link,,,"01/12/2018 01:00:17 PM"," ",1852,1852,0,3556,3556,0,363,354,507,0,0,2896,1512,0,0,330,0,0,0,0,0,0,0,0,0,0,25,1,4,26,1,5,196,236,,255,252,,,,,
882604215147359_1764301343644304,https://www.facebook.com/thetritonnews/posts/1764301343644304,"The congressional race for Issa’s seat had been predicted to be one of the most contested elections in the nation.",Link,,,"01/11/2018 09:02:22 AM"," ",1292,1292,0,2412,2412,0,148,128,141,0,0,2341,1269,0,0,143,0,0,0,0,0,0,0,0,0,0,41,,,41,,,23,113,,27,114,,,,,
882604215147359_1762978713776567,https://www.facebook.com/thetritonnews/posts/1762978713776567,"“We won’t always understand a song, and idea, or a person well, but as audience members, total mastery isn’t our job—our job, as listeners, and ultimately, as UCSD students, is to try our best in learning.”",Link,,,"01/10/2018 09:01:24 AM"," ",689,689,0,1311,1311,0,29,27,46,0,0,1114,604,0,0,20,0,0,0,0,0,0,0,0,0,0,8,3,,11,3,,11,19,,22,24,,,,,
882604215147359_1761932473881191,https://www.facebook.com/thetritonnews/posts/1761932473881191,"UCSD student and DACA recipient Orr Yakobi was detained Sunday night by U.S. Customs and Border Patrol after making a wrong turn near the U.S. Mexico Border coming back from San Ysidro.",Link,,,"01/09/2018 03:53:19 PM"," ",18837,18837,0,37437,37437,0,3329,3050,4943,0,0,5422,2204,0,0,775,0,0,0,0,0,0,0,0,0,0,512,99,30,576,104,40,1737,1912,,2696,2247,,,,,
882604215147359_1761605460580559,https://www.facebook.com/thetritonnews/posts/1761605460580559,"During his tenure at UCSD, González helped to facilitate the creation of the Office of Student Retention and Success, as well as advocated for the campus to become a Hispanic-serving institution. He also assisted in the facilitation and creation of The Triton Concern Line, a service resource regarding students' well-being; and The Triton Food Pantry, which assists students in food crisis.",Link,,,"01/09/2018 10:10:25 AM"," ",942,942,0,1684,1684,0,69,64,72,0,0,1637,920,0,0,67,0,0,0,0,0,0,0,0,0,0,8,,,8,,,37,30,,40,32,,,,,
882604215147359_1760269120714193,https://www.facebook.com/thetritonnews/posts/1760269120714193,"The UC system as a whole received a total of 221,788 applicants, with UCSD receiving a total of 116,452 applicants.",Link,,,"01/08/2018 03:01:34 PM"," ",3309,3309,0,6601,6601,0,852,760,1179,0,0,4141,2124,0,0,714,0,0,0,0,0,0,0,0,0,0,164,8,9,164,8,17,459,455,,678,501,,,,,
882604215147359_1754573891283716,https://www.facebook.com/thetritonnews/posts/1754573891283716,"The flyers were hung across campus on Dec. 7, showing a picture of Kate Steinle, a San Francisco woman who was killed in 2015 by Jose Ines Garcia Zarate, a Mexican-born undocumented immigrant and felon previously deported five times.",Link,,,"01/05/2018 03:00:55 PM"," ",2704,2704,0,5124,5124,0,601,589,1014,1,1,3780,1990,0,0,444,0,0,0,0,0,0,0,0,0,0,32,4,10,34,4,24,439,250,,757,257,,1,,1,
882604215147359_1750707291670376,https://www.facebook.com/thetritonnews/posts/1750707291670376,"“Learn about college before you go. Don’t take a bullshit major. It’s that simple.”",Link,,,"01/03/2018 09:01:26 AM"," ",1820,1820,0,3415,3415,0,390,371,430,0,0,3138,1673,0,0,369,0,0,0,0,0,0,0,0,0,0,41,2,3,45,2,3,47,353,,66,364,,,,,
882604215147359_1749745818433190,https://www.facebook.com/thetritonnews/posts/1749745818433190,"A Testament to the Sci-Fi Community | THE TRITON",Link,,,"01/02/2018 05:01:05 PM"," ",797,797,0,1354,1354,0,38,38,44,0,0,1319,779,0,0,38,0,0,0,0,0,0,0,0,0,0,8,,,8,,,6,34,,8,36,,,,,
882604215147359_1743508822390223,https://www.facebook.com/thetritonnews/posts/1743508822390223,"Pattiz submitted his resignation to UC Regent Chair George Kieffer. In September, allegations surfaced that Pattiz had brandished his gun as a threat to one of his employees.",Link,,,"12/28/2017 10:08:37 PM"," ",2006,2006,0,3867,3867,0,194,176,243,1,1,2475,1299,0,0,150,0,0,0,0,0,0,0,0,0,0,47,2,2,56,2,2,143,51,,187,56,,,1,,1
882604215147359_1742092659198506,https://www.facebook.com/thetritonnews/posts/1742092659198506,"Late last month, approximately 200 UCSD students met at Silent Tree in front of Geisel Library, to protest the initial House bill that called for taxing graduate students’ tuition waivers as income and repealing the tax deduction for student loan interest.",Link,,,"12/27/2017 04:17:13 PM"," ",1388,1388,0,2599,2599,0,113,78,88,0,0,2528,1351,0,0,110,0,0,0,0,0,0,0,0,0,0,54,,,54,,,28,56,,32,56,,,,,
882604215147359_1725405130867259,https://www.facebook.com/thetritonnews/posts/1725405130867259,"Halfway through finals week! The Triton wishes you the best of luck. 
If you aren't already, follow us on Instagram at www.instagram.com/triton_news/

PC: Emily Beihold",Photo,,,"12/13/2017 02:24:47 PM"," ",623,623,0,992,992,0,63,58,92,0,0,951,592,0,0,31,0,0,0,0,0,0,0,0,0,0,12,,,12,,,12,3,49,23,3,66,,,,
882604215147359_1723764837697955,https://www.facebook.com/thetritonnews/posts/1723764837697955,"The campus has placed 50 stationless bikes for a trial run around the campus, which will be followed by more bikes in January. But instead of a familiar yellow bike, they’re orange.",Link,,,"12/12/2017 09:01:05 AM"," ",2457,2457,0,4810,4810,0,356,331,441,0,0,3494,1770,0,0,299,0,0,0,0,0,0,0,0,0,0,59,2,7,62,2,7,216,161,,265,176,,,,,
882604215147359_1722497447824694,https://www.facebook.com/thetritonnews/posts/1722497447824694,"The UC San Diego Chamber Orchestra performed a diverse and lively set, ending with the beloved “Star Wars Suite”.",Link,,,"12/11/2017 09:00:38 AM"," ",1083,1083,0,2062,2062,0,47,34,44,0,0,1752,932,0,0,40,0,0,0,0,0,0,0,0,0,0,23,1,3,24,1,3,15,26,,17,27,,,,,
882604215147359_1716185031789269,https://www.facebook.com/thetritonnews/posts/1716185031789269,"&quot;If all the guides look a certain way and come from a particular background, I’m curious about how that affects folks who are interested in getting involved, but don't look like them,&quot; says student Justin Huynh.",Link,,,"12/06/2017 04:25:13 PM"," ",2149,2149,0,4230,4230,0,317,307,595,0,0,3190,1606,0,0,237,0,0,0,0,0,0,0,0,0,0,30,1,5,32,1,12,226,172,,391,204,,,,,
882604215147359_1714503128624126,https://www.facebook.com/thetritonnews/posts/1714503128624126,"The Triton is chatting with two investigative journalists from Inewsource today, from 1-2pm in the communications building. Come join us and find out how these cool journalists do their work!",Link,,,"12/05/2017 10:00:54 AM"," ",336,336,0,569,569,0,16,13,13,0,0,543,323,0,0,15,0,0,0,0,0,0,0,0,0,0,5,,,5,,,13,,,13,,,,,,
882604215147359_1714444468629992,https://www.facebook.com/thetritonnews/posts/1714444468629992,"Outback Adventure guides are paid $40 to $50 per day, the equivalent of $1.60 to $10 per hour, for work days between five and 24 hours.",Link,,,"12/05/2017 09:00:44 AM"," ",3666,3666,0,9570,9570,0,791,762,3657,1,1,4006,1941,0,0,440,0,0,0,0,0,0,0,0,0,0,99,5,40,111,5,171,623,365,,3163,494,,,1,,1
882604215147359_1712725225468583,https://www.facebook.com/thetritonnews/posts/1712725225468583,"The Triton is launching the Documenting Hate project here at UCSD, in collaboration with the independent news organization ProPublica. The nationwide project tracks hate crimes and bias incidents via local newsrooms, and will allow students to report incidents from their own lives.",Link,,,"12/04/2017 04:00:36 PM"," ",1917,1917,0,3760,3760,0,136,110,150,1,1,2068,1049,0,0,110,0,0,0,0,0,0,0,0,0,0,55,5,,70,5,,84,41,,105,45,,,1,,1
882604215147359_1712628095478296,https://www.facebook.com/thetritonnews/posts/1712628095478296:0,"Tomorrow from 1 PM - 2 PM, learn the inside scoop on professional investigative journalism!
More info here: https://goo.gl/NqAsGs",Photo,,,"12/04/2017 02:05:40 PM"," ",539,539,0,907,907,0,22,18,29,0,0,879,517,0,0,18,0,0,0,0,0,0,0,0,0,0,5,,,5,,,3,5,12,5,5,19,,,,
882604215147359_1712579892149783,https://www.facebook.com/thetritonnews/posts/1712579892149783,"&quot;Like all art forms, dance expresses cultural roots and tells a story.&quot;",Link,,,"12/04/2017 01:01:10 PM"," ",463,463,0,810,810,0,11,8,12,0,0,778,441,0,0,11,0,0,0,0,0,0,0,0,0,0,4,,,4,,,5,4,1,7,4,1,,,,
882604215147359_1712351682172604,https://www.facebook.com/thetritonnews/posts/1712351682172604,"&quot;It baffles me that there is student space and organization that we are not holding to the same standards administration has been held to,” said ASUCSD External Vice President Refilwe Gqajela.",Link,,,"12/04/2017 09:01:01 AM"," ",3630,3630,0,7288,7288,0,682,664,1044,0,0,4402,2152,0,0,478,0,0,0,0,0,0,0,0,0,0,100,10,10,108,10,11,371,445,,577,467,,,,,
882604215147359_1707893762618396,https://www.facebook.com/thetritonnews/posts/1707893762618396,"&quot;Those who are famous are often placed on a pedestal, viewed as being immune to common, everyday struggles. This is a false belief, however, evidenced by celebrities like Kurt Cobain, MC Capital Steez, and Chester Bennington from Linkin Park—all of whom have fallen victim to suicide.&quot;",Link,,,"12/01/2017 09:01:06 AM"," ",1011,1011,0,1888,1888,0,55,46,52,0,0,1787,956,0,0,49,0,0,0,0,0,0,0,0,0,0,14,3,,15,3,,9,39,,10,42,,,,,
882604215147359_1707062799368159,https://www.facebook.com/thetritonnews/posts/1707062799368159,"Dean of Engineering Albert Pisano wrote in an email that should the perpetrator be identified, they will face appropriate sanctions.",Link,,,"11/30/2017 08:00:53 PM"," ",2514,2514,0,5353,5353,0,443,422,542,0,0,3878,1677,0,0,348,0,0,0,0,0,0,0,0,0,0,47,2,,50,2,,51,390,,88,454,,,,,
882604215147359_1706693859405053,https://www.facebook.com/thetritonnews/posts/1706693859405053,"If the tax bill passes, a graduate student who receives a stipend between $16,000 and $34,000 may have to pay as much as $8,000 more in taxes each year.",Link,,,"11/30/2017 02:00:59 PM"," ",3795,3795,0,7620,7620,0,448,383,555,0,0,4226,1837,0,0,334,0,0,0,0,0,0,0,0,0,0,127,9,3,142,9,3,232,197,,332,223,,,,,
882604215147359_1706397832767989,https://www.facebook.com/thetritonnews/posts/1706397832767989,"&quot;I've finally found peace in this lion's den. I've found security and struggle. I've found courage and spontaneity. But most importantly, I've found beauty. I've found myself.”",Link,,,"11/30/2017 09:00:55 AM"," ",1562,1562,0,3152,3152,0,176,162,226,0,0,2447,1247,0,0,133,0,0,0,0,0,0,0,0,0,0,52,2,3,56,2,3,62,127,,95,131,,,,,
882604215147359_1703994679674971,https://www.facebook.com/thetritonnews/posts/1703994679674971,"In a study that was recently accepted for publication, Dr. Alysson Muotri’s group and their collaborators found that Chloroquine, an FDA-approved drug used to treat and prevent malaria, can be used to protect against the Zika virus.",Link,,,"11/28/2017 04:01:10 PM"," ",1621,1621,0,3068,3068,0,119,73,109,0,0,2242,1198,0,0,100,0,0,0,0,0,0,0,0,0,0,64,6,5,64,8,5,46,38,,68,41,,,,,
882604215147359_1701815616559544,https://www.facebook.com/thetritonnews/posts/1701815616559544,"We are looking to highlight faculty members and students with interesting pastimes, unique stories, or impressive accomplishments on our Instagram! So send us a message by clicking the button below!",Photo,,,"11/27/2017 02:05:34 PM"," ",857,857,0,1712,1712,0,49,40,52,0,0,1023,572,0,0,27,0,0,0,0,0,0,0,0,0,0,14,2,,16,2,,19,,22,23,,29,,,,
882604215147359_1701706633237109,https://www.facebook.com/thetritonnews/posts/1701706633237109,"UC San Diego will join the Big West Conference along with Cal State Bakersfield.",Link,,,"11/27/2017 12:18:04 PM"," ",14387,14387,0,29910,29910,0,1648,1398,2044,0,0,5575,2357,0,0,597,0,0,0,0,0,0,0,0,0,0,464,46,28,490,48,34,662,912,,991,1053,,,,,
882604215147359_1701537273254045,https://www.facebook.com/thetritonnews/posts/1701537273254045,"Submission: Let's Build Community Together",Link,,,"11/27/2017 09:03:52 AM"," ",1039,1039,0,1911,1911,0,92,87,94,0,0,1856,1006,0,0,90,0,0,0,0,0,0,0,0,0,0,13,,,13,,,8,83,,9,85,,,,,
882604215147359_1693854897355616,https://www.facebook.com/thetritonnews/posts/1693854897355616,"Nineteen students, one undergraduate and one graduate student per UC campus, will serve as board members.",Link,,,"11/22/2017 09:19:41 PM"," ",1533,1533,0,2947,2947,0,162,142,160,2,2,2839,1462,0,0,155,0,0,0,0,0,0,0,0,0,0,37,1,,37,1,,23,123,,28,132,,1,1,1,1
882604215147359_1691757430898696,https://www.facebook.com/thetritonnews/posts/1691757430898696,"&quot;Hillel International’s Israel Guidelines and its partnership with Mosaic do not simply exclude Jewish community members based on their political views—they redefine diasporic Jewish identity itself.&quot;",Link,,,"11/21/2017 09:00:47 AM"," ",3230,3230,0,6296,6296,0,439,424,698,0,0,2928,1454,0,0,220,0,0,0,0,0,0,0,0,0,0,57,5,10,76,6,21,280,236,,430,268,,,,,
882604215147359_1690516011022838,https://www.facebook.com/thetritonnews/posts/1690516011022838,"19 of the 20 highest paid employees at UCSD in 2016 were male doctors, led by Robert Weinreb, a renowned ophthalmologist and expert in glaucoma.",Link,,,"11/20/2017 09:00:44 AM"," ",6521,6521,0,11062,11062,0,635,611,920,0,0,4605,2202,0,0,504,0,0,0,0,0,0,0,0,0,0,52,4,9,53,4,11,374,372,,536,384,,,,,
882604215147359_1688458027895303,https://www.facebook.com/thetritonnews/posts/1688458027895303,"UCSD’s ArtPower has brought David Sedaris to San Diego multiple times; with the release of Sedaris’ new book “Theft By Finding,” released this past May, a 2017 appearance by Sedaris was highly anticipated.",Link,,,"11/18/2017 07:51:27 PM"," ",7245,7245,0,14118,14118,0,42,30,39,0,0,3577,1711,0,0,35,0,0,0,0,0,0,0,0,0,0,25,1,,32,2,,15,19,,19,20,,,,,
882604215147359_1686711178069988,https://www.facebook.com/thetritonnews/posts/1686711178069988,"&quot;Set against the backdrop of Taiwan’s 2008 Cross-Strait (Taiwan-China) political turbulence, Ying-Ting Tseng’s romantic melodrama tells a heartbreaking but stunning story of lives destroyed by fear.&quot;",Link,,,"11/17/2017 05:01:12 PM"," ",7483,7483,0,15874,15874,0,64,56,66,1,1,4162,1823,0,0,54,0,0,0,0,0,0,0,0,0,0,21,1,,24,1,,27,33,,30,36,,1,,1,
882604215147359_1686636748077431,https://www.facebook.com/thetritonnews/posts/1686636748077431,"&quot;When we talk about the n-word, non-Black people need to take a step back and listen.&quot;",Link,,,"11/17/2017 03:22:12 PM"," ",15876,15876,0,35510,35510,0,1803,1601,2822,1,1,7439,2667,0,0,646,0,0,0,0,0,0,0,0,0,0,423,77,25,540,83,37,658,1303,,1222,1600,,1,,1,
882604215147359_1686310158110090,https://www.facebook.com/thetritonnews/posts/1686310158110090,"“Do you care as much as you ought? Do you love as fiercely as you could? Well, why the hell not?”",Link,,,"11/17/2017 09:51:36 AM"," ",7551,7551,0,15590,15590,0,115,104,113,0,0,4340,1872,0,0,114,0,0,0,0,0,0,0,0,0,0,19,,,20,,,11,97,,13,100,,,,,
882604215147359_1685355241538915,https://www.facebook.com/thetritonnews/posts/1685355241538915,"In 2003, Jacobs donated $110 million to the school to support scholarships and fellowships.",Link,,,"11/16/2017 04:35:11 PM"," ",7299,7299,0,14636,14636,0,68,59,69,0,0,4259,1818,0,0,61,0,0,0,0,0,0,0,0,0,0,18,1,,21,1,,18,47,,20,49,,,,,
882604215147359_1685328088208297,https://www.facebook.com/thetritonnews/posts/1685328088208297,"While the study claims that noise is caused because of how sound waves travel over the ocean and move over the hills of La Jolla, it does not offer any explanation as to why these reasons would cause an increase in noise perceived by La Jolla residents.",Link,,,"11/16/2017 04:01:25 PM"," ",8712,8712,0,19211,19211,0,278,255,346,0,0,5003,2101,0,0,246,0,0,0,0,0,0,0,0,0,0,40,2,6,46,2,8,163,133,,205,141,,,,,
882604215147359_1684933898247716,https://www.facebook.com/thetritonnews/posts/1684933898247716,"“The school knows that chosen names are important when it wants to be referred to as ‘UC San Diego,’ so why won’t UCSD’s administration give students the same respect?”",Link,,,"11/16/2017 09:00:55 AM"," ",11230,11230,0,25372,25372,0,747,687,872,2,3,6035,2376,0,0,425,0,0,0,0,0,0,0,0,0,0,125,11,,146,11,,301,456,,397,475,,2,1,2,1
882604215147359_1684030815004691,https://www.facebook.com/thetritonnews/posts/1684030815004691,"The announcement came this afternoon through a Facebook post on the festival’s event page.",Link,,,"11/15/2017 04:10:59 PM"," ",9587,9587,0,21112,21112,0,441,418,588,0,0,5086,2202,0,0,359,0,0,0,0,0,0,0,0,0,0,35,4,5,38,4,8,234,246,,322,266,,,,,
882604215147359_1684006038340502,https://www.facebook.com/thetritonnews/posts/1684006038340502,"La Santa Cecilia, Mexrissey, and Mariachi Flor de Toloache performed at Balboa Theater, sponsored by ArtPower.",Link,,,"11/15/2017 03:35:17 PM"," ",4764,4764,0,8968,8968,0,20,10,12,0,0,3359,1520,0,0,19,0,0,0,0,0,0,0,0,0,0,12,,,12,,,5,5,,5,7,,,,,
882604215147359_1683443265063446,https://www.facebook.com/thetritonnews/posts/1683443265063446,"The strength of &quot;It&quot; lies in its ability to feed off of fear and nostalgia.",Link,,,"11/15/2017 09:00:54 AM"," ",6574,6574,0,13260,13260,0,58,49,60,0,0,4111,1825,0,0,54,0,0,0,0,0,0,0,0,0,0,18,,1,20,,1,26,29,,31,29,,,,,
882604215147359_1682345295173243,https://www.facebook.com/thetritonnews/posts/1682345295173243,"MAJOR UPDATE: The Triton is now on Instagram! Follow triton_news on Instagram to stay up to date with campus shenanigans.",Photo,,,"11/14/2017 06:54:59 PM"," ",6832,6832,0,14339,14339,0,62,53,83,0,0,4236,1661,0,0,31,0,0,0,0,0,0,0,0,0,0,18,2,,20,3,,18,1,36,21,1,61,,,,
882604215147359_1681814668559639,https://www.facebook.com/thetritonnews/posts/1681814668559639,"Scott Paulson, a 1984 UCSD alumnus, rings them from on top of Geisel Library. He's open to requests.",Link,,,"11/14/2017 09:01:16 AM"," ",12514,12514,0,27427,27427,0,912,813,1067,0,0,6734,2667,0,0,627,0,0,0,0,0,0,0,0,0,0,264,14,28,281,14,35,323,639,,407,660,,,,,
882604215147359_1681068045300968,https://www.facebook.com/thetritonnews/posts/1681068045300968,"PC: Kenji Bennett",Photo,,,"11/13/2017 06:52:15 PM"," ",1133,1133,0,1917,1917,0,183,130,248,0,0,1740,1028,0,0,144,0,0,0,0,0,0,0,0,0,0,87,,6,87,,8,87,1,71,115,1,132,,,,
882604215147359_1681067621967677,https://www.facebook.com/thetritonnews/posts/1681067621967677,"The Triton's cover photo",Photo,,,"11/13/2017 06:51:39 PM"," ",9,9,0,9,9,0,4,4,7,0,0,9,9,0,0,4,0,0,0,0,0,0,0,0,0,0,1,,,1,,,2,,3,3,,4,,,,
882604215147359_1680533998687706,https://www.facebook.com/thetritonnews/posts/1680533998687706,"The new change will mean that students who drop a course after the end of Week 6 will incur a failing grade or “F.”",Link,,,"11/13/2017 09:01:10 AM"," ",11561,11561,0,27608,27608,0,1341,1264,2109,1,1,7837,2745,0,0,801,0,0,0,0,0,0,0,0,0,0,209,10,41,219,11,48,867,726,,1308,801,,,1,,1
882604215147359_1677270422347397,https://www.facebook.com/thetritonnews/posts/1677270422347397,"“On one hand, we are encouraged to be tolerant of opposing ideas,” Healy said. “On the other hand, unlike the government, we as individuals are not expected to remain neutral observers.”",Link,,,"11/10/2017 03:09:23 PM"," ",9025,9025,0,19331,19331,0,169,156,214,0,0,4925,2172,0,0,150,0,0,0,0,0,0,0,0,0,0,37,2,1,38,2,1,88,97,,109,105,,,,,
882604215147359_1675785282495911,https://www.facebook.com/thetritonnews/posts/1675785282495911,"The UCSD fencing team had first-place winners in both the Men’s Senior Epee and Men’s Senior Saber, as well as 16 other top ten finishers in the BladeRunner Tournament on November 4–5 in RIMAC Arena.",Link,,,"11/09/2017 09:00:44 AM"," ",6437,6437,0,12443,12443,0,42,29,33,0,0,3909,1789,0,0,41,0,0,0,0,0,0,0,0,0,0,21,,,21,,,10,20,,11,22,,,,,
882604215147359_1674991339241972,https://www.facebook.com/thetritonnews/posts/1674991339241972,"&quot;Someone, somehow, somewhere knows what you've done,” said CSE lecturer Thomas Powell during the lecture following the midterm. &quot;The reality is that you are not anonymous online.”",Link,,,"11/08/2017 04:10:53 PM"," ",13702,13702,0,30453,30453,0,1959,1912,2850,1,1,6809,2587,0,0,829,0,0,0,0,0,0,0,0,0,0,186,12,26,214,12,32,1031,1320,,1445,1405,,,1,,1
882604215147359_1674695262604913,https://www.facebook.com/thetritonnews/posts/1674695262604913,"&quot;On Nov. 3, UCSD’s Conrad Prebys Music Center was filled with students as well as community members to welcome the Meccorre Quartet. Although the concert only consisted of three songs and a surprise snippet from Haydn's &quot;Symphony No. 52,&quot; the concert clocked in at a surprising two and a half hours.&quot;",Link,,,"11/08/2017 09:58:27 AM"," ",6386,6386,0,12576,12576,0,28,20,23,0,0,3750,1684,0,0,24,0,0,0,0,0,0,0,0,0,0,9,1,2,9,1,2,12,10,,13,10,,,,,
882604215147359_1673478912726548,https://www.facebook.com/thetritonnews/posts/1673478912726548,"&quot;Emily Beihold, a first year at UC San Diego, received her first piano in 2006… and the rest was musical history. She started off learning classical music, but soon realized that playing classical pieces didn’t call out to her as much as her own melodies did.&quot;",Link,,,"11/07/2017 09:00:25 AM"," ",10329,10329,0,23076,23076,0,392,341,500,0,0,4971,2090,0,0,111,0,0,0,0,0,0,0,0,0,0,176,9,33,200,10,41,243,149,,332,168,,,,,
