"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - photo view","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - photo view","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative feedback - hide_clicks","Lifetime Negative feedback - hide_all_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
882604215147359_1801780379896400,https://www.facebook.com/thetritonnews/posts/1801780379896400,"Last Friday, students performed and showcased their art, ranging across dance, instrumentation, and comedy.",Link,,,"02/08/2018 01:00:44 PM"," ",671,671,0,1260,1260,0,21,14,23,0,0,1176,621,0,0,19,0,0,0,0,0,0,0,0,0,0,8,1,1,8,1,1,8,12,,11,12,,,,,
882604215147359_1801668463240925,https://www.facebook.com/thetritonnews/posts/1801668463240925,"“We have a reliable and easy-to-use test to measure blood alcohol concentration. But right now we don’t have a fast, reliable test to gauge whether someone is too doped up to drive.”",Link,,,"02/08/2018 11:02:23 AM"," ",1068,1068,0,2167,2167,0,75,63,70,0,0,2071,1018,0,0,74,0,0,0,0,0,0,0,0,0,0,16,,1,16,,1,24,40,,28,42,,,,,
882604215147359_1801518139922624,https://www.facebook.com/thetritonnews/posts/1801518139922624,"&quot;For so long, abusers have been protected by their celebrity, influence, and position. However, I am fighting for a world where we are all held accountable for our actions; it is what survivors fight for every day. So, what does this have to do with UC San Diego? Well, UCSD has a problem and its name is Woody Allen.&quot;",Link,,,"02/08/2018 09:01:04 AM"," ",4196,4196,0,8708,8708,0,931,900,1524,0,0,4729,2219,0,0,647,0,0,0,0,0,0,0,0,0,0,97,14,11,102,14,16,450,685,,749,775,,,,,
882604215147359_1800482853359486,https://www.facebook.com/thetritonnews/posts/1800482853359486,"&quot;In denying the proposal, Geisel is not only failing to meet its mission–it’s failing students.&quot;",Link,,,"02/07/2018 02:04:12 PM"," ",2648,2648,0,5848,5848,0,322,301,405,1,1,3427,1571,0,0,224,0,0,0,0,0,0,0,0,0,0,58,5,2,73,6,3,108,236,,138,267,,1,,1,
882604215147359_1800344753373296,https://www.facebook.com/thetritonnews/posts/1800344753373296,"The “Wellness Vending Machine” will sell other health products such as Advil, pregnancy tests, and condoms. Students can access these products 24/7 (with their student ID after hours), and the vending machine will only accept TritonCash.",Link,,,"02/07/2018 12:12:33 PM"," ",6303,6303,0,14659,14659,0,1119,983,1665,1,1,4781,2046,0,0,547,0,0,0,0,0,0,0,0,0,0,338,20,27,379,21,43,831,293,,1339,326,,,1,,1
882604215147359_1800163506724754,https://www.facebook.com/thetritonnews/posts/1800163506724754,"Shahram Jazirian sued the UC Regents in late April of 2017, claiming UCSD neglected to provide him with the necessary accommodations, leading to him being denied the financial aid he needed.",Link,,,"02/07/2018 09:00:58 AM"," ",1910,1910,0,3644,3644,0,354,338,492,0,0,2905,1501,0,0,327,0,0,0,0,0,0,0,0,0,0,30,3,2,33,3,7,214,190,,294,198,,,,,
882604215147359_1799075780166860,https://www.facebook.com/thetritonnews/posts/1799075780166860,"&quot;Now more than ever, it is time to come together to organize and mobilize against a system that is indifferent to our struggles.”",Link,,,"02/06/2018 11:02:05 AM"," ",932,932,0,1738,1738,0,74,66,70,0,0,1654,879,0,0,70,0,0,0,0,0,0,0,0,0,0,15,1,,15,1,,8,60,,9,61,,,,,
882604215147359_1798960846845020,https://www.facebook.com/thetritonnews/posts/1798960846845020,"It is currently unclear how many students are eligible for tuition remission, as the majority of UCSD’s approximately 2,000 readers, tutors, teaching assistants (TA), and instructional assistants (IA) are graduate students.",Link,,,"02/06/2018 09:00:20 AM"," ",4417,4417,0,8967,8967,0,661,617,1001,0,0,4179,2063,0,0,438,0,0,0,0,0,0,0,0,0,0,68,8,30,72,8,37,412,344,,619,382,,,,,
882604215147359_1798085243599247,https://www.facebook.com/thetritonnews/posts/1798085243599247,"“I understand that there is a whole college culture surrounding alcohol, parties, drugs, and everything in between but this becomes a significant issue when individuals end up in hospital beds and/or body bags.” - Dalia Elmanzalawy",Link,,,"02/05/2018 03:56:44 PM"," ",1412,1412,0,2620,2620,0,169,156,203,0,0,2377,1299,0,0,159,0,0,0,0,0,0,0,0,0,0,30,,1,31,,1,60,131,,69,134,,,,,
882604215147359_1797941930280245,https://www.facebook.com/thetritonnews/posts/1797941930280245,"“We want not only dignity and respect, but we want the university to take notice that we need fair wages to be able to live here in San Diego,” said Armando Jundis, president of a local union chapter. “Living here is very expensive.&quot;",Link,,,"02/05/2018 01:04:25 PM"," ",3355,3355,0,6618,6618,0,316,276,379,1,1,3019,1531,0,0,212,0,0,0,0,0,0,0,0,0,0,87,15,1,99,15,1,173,159,,208,171,,1,,1,
882604215147359_1797703586970746,https://www.facebook.com/thetritonnews/posts/1797703586970746,"ERC Senator Alex Nguyen Resigns | THE TRITON",Link,,,"02/05/2018 09:00:27 AM"," ",1682,1682,0,3300,3300,0,495,481,530,0,0,3222,1643,0,0,483,0,0,0,0,0,0,0,0,0,0,37,,,38,,,43,469,,55,475,,,,,
882604215147359_1794370293970742,https://www.facebook.com/thetritonnews/posts/1794370293970742,"&quot;I feel bad for January.&quot;",Link,,,"02/02/2018 06:36:19 PM"," ",1088,1088,0,2015,2015,0,100,95,112,0,0,1655,915,0,0,91,0,0,0,0,0,0,0,0,0,0,15,1,,18,1,,28,74,,36,76,,,,,
882604215147359_1794183960656042,https://www.facebook.com/thetritonnews/posts/1794183960656042,"Teen sensation Jesse McCartney will headline Warren Live on Thursday, February 22 in the Price Center West Ballroom.",Link,,,"02/02/2018 02:37:21 PM"," ",14366,14366,0,31602,31602,0,1923,1528,2679,2,2,6298,2619,0,0,763,0,0,0,0,0,0,0,0,0,0,731,54,236,806,54,337,1081,744,,1771,908,,1,1,1,1
882604215147359_1792613797479725,https://www.facebook.com/thetritonnews/posts/1792613797479725,"New tunes for Week 4 brought to you by The Triton's Art and Culture section.",Link,,,"02/01/2018 11:03:23 AM"," ",863,863,0,1588,1588,0,65,58,61,0,0,1535,832,0,0,63,0,0,0,0,0,0,0,0,0,0,14,,,14,,,8,52,,10,51,,,,,
882604215147359_1788902271184211,https://www.facebook.com/thetritonnews/posts/1788902271184211,"A student and member of the white supremacist group Identity Evropa has been disrupting classrooms.",Link,,,"01/29/2018 04:18:13 PM"," ",8359,8359,0,17365,17365,0,1108,1066,1461,0,0,4447,2155,0,0,642,0,0,0,0,0,0,0,0,0,0,119,18,14,145,20,31,348,892,,476,985,,,,,
882604215147359_1784453294962442,https://www.facebook.com/thetritonnews/posts/1784453294962442,"“I have no idea why they rejected it,” said Sixth College Senator Caroline Siegel-Singh. “I think our next move is allocate funding for a new machine, and approach the appropriate entities to get a wellness machine, including Plan B, in Price Center.”",Link,,,"01/26/2018 11:00:48 AM"," ",4806,4806,0,10238,10238,0,901,838,1323,0,0,4198,1951,0,0,580,0,0,0,0,0,0,0,0,0,0,120,11,11,144,11,15,632,357,,937,386,,,,,
882604215147359_1784329111641527,https://www.facebook.com/thetritonnews/posts/1784329111641527,"A new major, Molecular and Cell Biology, will be offered for students admitted Fall 2018, combining majors Biochemistry/Cell Biology and Molecular Biology.",Link,,,"01/26/2018 09:01:22 AM"," ",3907,3907,0,8401,8401,0,646,577,869,0,0,4105,2009,0,0,309,0,0,0,0,0,0,0,0,0,0,101,4,26,106,5,31,359,302,,540,329,,,,,
882604215147359_1782084795199292,https://www.facebook.com/thetritonnews/posts/1782084795199292,"UC Regents Delay Tuition Hike Vote | THE TRITON",Link,,,"01/24/2018 04:57:45 PM"," ",1887,1887,0,4412,4412,0,183,148,217,0,0,2874,1227,0,0,135,0,0,0,0,0,0,0,0,0,0,61,8,4,68,8,4,68,101,,100,117,,,,,
882604215147359_1781650981909340,https://www.facebook.com/thetritonnews/posts/1781650981909340,"San Diego’s march occurred alongside similar marches across the world held during that weekend, including the culminating march in Las Vegas, as well as marches in Los Angeles, Chicago, London, and Rome.",Link,,,"01/24/2018 09:01:10 AM"," ",847,847,0,1531,1531,0,50,39,46,1,1,1491,829,0,0,48,0,0,0,0,0,0,0,0,0,0,16,,,16,,,9,34,,12,34,,1,,1,
882604215147359_1780483658692739,https://www.facebook.com/thetritonnews/posts/1780483658692739,"If passed, this will mark the second tuition hike since the end of a six-year tuition hike freeze in 2017.",Link,,,"01/23/2018 12:15:27 PM"," ",2942,2942,0,6085,6085,0,286,248,370,0,0,3415,1531,0,0,215,0,0,0,0,0,0,0,0,0,0,72,10,6,85,10,8,173,123,,230,140,,,,,
882604215147359_1780360998705005,https://www.facebook.com/thetritonnews/posts/1780360998705005,"&quot;In creating such a clear contrast between the honor bestowed on the four male namesakes of the college and the only female one, the university conveys the sense that Roosevelt’s many accomplishments are worth less than other influential figures.&quot;",Link,,,"01/23/2018 10:01:44 AM"," ",2501,2501,0,5012,5012,0,579,568,792,0,0,3869,1933,0,0,511,0,0,0,0,0,0,0,0,0,0,67,3,3,67,3,3,284,415,,369,423,,,,,
882604215147359_1778960752178363,https://www.facebook.com/thetritonnews/posts/1778960752178363,"This is the third resignation of the quarter and the fifth resignation this year within ASUCSD.",Link,,,"01/22/2018 09:01:39 AM"," ",2344,2344,0,4724,4724,0,778,766,1148,0,0,3804,1915,0,0,686,0,0,0,0,0,0,0,0,0,0,54,1,7,55,1,7,301,672,,459,689,,,,,
