"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - link clicks","Lifetime Post consumers by type - photo view","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - link clicks","Lifetime Post Consumptions by type - photo view","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative feedback - hide_clicks","Lifetime Negative feedback - hide_all_clicks"
,,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
882604215147359_1666393866768386,https://www.facebook.com/thetritonnews/posts/1666393866768386,"The UC and other groups jointly filed a motion Wednesday asking a federal judge to keep the program operating while their lawsuits are being reviewed (via The Daily Bruin).",Link,,,"11/01/2017 01:55:35 PM"," ",5173,5171,0,9863,9853,0,24,17,21,0,0,3578,1637,0,0,24,0,0,0,0,0,0,0,0,0,0,,12,,,12,,12,7,,13,8,,,,,
882604215147359_1666141643460275,https://www.facebook.com/thetritonnews/posts/1666141643460275,"Valet service is available weekdays from 7:30 a.m. to 6 p.m., with the last vehicle parked at 4:30 p.m. The valet service pilot program, which began in fall 2016, costs $5 for faculty or staff with a valid “A” or “B” permit and $20 for visitors.",Link,,,"11/01/2017 09:01:34 AM"," ",10918,8684,0,24256,18517,0,832,801,1393,1,1,6453,2518,0,0,565,0,0,0,0,0,0,0,0,0,0,6,116,17,7,129,20,585,359,,954,439,,1,,1,
882604215147359_1664665036941269,https://www.facebook.com/thetritonnews/posts/1664665036941269,"Curators Erin Christovale and Maori Karmael Holmes discussed the importance of Black cinema, art, and their roles as curators in creating avenues for Black cinema.",Link,,,"10/31/2017 09:01:17 AM"," ",5180,5170,0,9784,9770,0,41,25,30,0,0,3917,1746,0,0,40,0,0,0,0,0,0,0,0,0,0,,23,,,24,,13,15,,14,16,,,,,
882604215147359_1663717747035998,https://www.facebook.com/thetritonnews/posts/1663717747035998,"Weir attended UCSD from 1990 to 1994, but did not graduate. After working several programming jobs at companies like AOL and Blizzard, Weir was a software engineer up until creating the famous sci-fi novel The Martian.",Link,,,"10/30/2017 01:01:12 PM"," ",8935,8818,0,19895,19619,0,163,130,171,0,0,5108,2155,0,0,149,0,0,0,0,0,0,0,0,0,0,1,68,4,1,68,4,83,63,,96,75,,,,,
882604215147359_1663491923725247,https://www.facebook.com/thetritonnews/posts/1663491923725247,"All Lyft credits obtained through the program, as well as parking passes, will expire on December 31, 2017.",Link,,,"10/30/2017 09:01:09 AM"," ",9399,9082,0,20544,19839,0,305,292,382,0,0,5170,2231,0,0,268,0,0,0,0,0,0,0,0,0,0,2,30,5,2,33,5,127,223,,149,233,,,,,
882604215147359_1662443377163435,https://www.facebook.com/thetritonnews/posts/1662443377163435,"“Let’s clear the air. I am arguably UC San Diego’s strongest proponent of dropping classes.”",Link,,,"10/29/2017 12:48:20 PM"," ",11697,10145,0,25263,21621,0,613,575,777,0,0,5760,2545,0,0,464,0,0,0,0,0,0,0,0,0,0,8,96,14,8,100,15,263,423,,338,439,,,,,
882604215147359_1659805377427235,https://www.facebook.com/thetritonnews/posts/1659805377427235,"&quot;Students that are found to have violated academic integrity will be charged an administrative fee of $50 and will have to accept whatever training or disciplinary actions prescribed by administrators.&quot;",Link,,,"10/27/2017 10:01:35 AM"," ",9279,8747,0,19286,17666,0,286,277,370,0,0,4571,2121,0,0,222,0,0,0,0,0,0,0,0,0,0,1,24,2,1,25,7,184,119,,238,132,,,,,
882604215147359_1658534824220957,https://www.facebook.com/thetritonnews/posts/1658534824220957,"“Pouring money into research, and offering up lab positions and internships to undergraduates as early as fall quarter of their freshman year, UCSD appears to have discovered the four year recipe for creating a pristine, professional, and, most importantly, experienced graduate.”",Link,,,"10/26/2017 09:00:56 AM"," ",10105,9047,0,21639,19157,0,506,480,642,0,0,5581,2411,0,0,367,0,0,0,0,0,0,0,0,0,0,4,90,3,4,91,3,162,407,,218,424,,,,,
882604215147359_1657661114308328,https://www.facebook.com/thetritonnews/posts/1657661114308328,"In 2015, UCSD was named the 19th best global university, and in 2016, it was named the 15th.",Link,,,"10/25/2017 03:01:01 PM"," ",9621,7892,0,19763,16167,0,328,278,391,0,0,5070,2144,0,0,256,0,0,0,0,0,0,0,0,0,0,6,72,4,6,74,4,176,140,,224,167,,,,,
882604215147359_1656450504429389,https://www.facebook.com/thetritonnews/posts/1656450504429389,"The cancellations coincide with allegations from former band member Alice Glass, who released a statement earlier today alleging physical, monetary, and psychological abuse by her former bandmate Ethan Kath.",Link,,,"10/24/2017 06:48:24 PM"," ",6618,6276,0,13715,12631,0,135,113,180,0,0,4774,2009,0,0,107,0,0,0,0,0,0,0,0,0,0,2,52,1,2,63,1,59,67,,101,79,,,,,
882604215147359_1655910534483386,https://www.facebook.com/thetritonnews/posts/1655910534483386,"Despite a new name and new ownership, the store provides similar pan-Asian dishes, from noodles to curries to a variety of new vegan options.",Link,,,"10/24/2017 09:01:04 AM"," ",11406,9574,0,27186,23327,0,600,561,765,1,1,5922,2477,0,0,385,0,0,0,0,0,0,0,0,0,0,4,52,34,4,52,46,301,342,,403,362,,,1,,1
882604215147359_1654674131273693,https://www.facebook.com/thetritonnews/posts/1654674131273693,"After resolving all but $4831.70 of the deficit, the ASUCSD spent 7 hours in discussion closing the gap.",Link,,,"10/23/2017 11:00:28 AM"," ",9840,5886,0,21648,11905,0,377,360,524,0,0,5107,2196,0,0,298,0,0,0,0,0,0,0,0,0,0,4,38,2,4,45,2,199,227,,288,236,,,,,
882604215147359_1654556441285462,https://www.facebook.com/thetritonnews/posts/1654556441285462,"Shake Shack Opens at Westfield UTC | THE TRITON",Link,,,"10/23/2017 09:00:21 AM"," ",7961,7394,0,17146,15731,0,262,230,319,1,1,5217,2199,0,0,175,0,0,0,0,0,0,0,0,0,0,1,80,7,1,81,8,91,175,,125,194,,1,,1,
882604215147359_1652366731504433,https://www.facebook.com/thetritonnews/posts/1652366731504433,"“Wait a minute — can I hold your breasts? Would that help?” Regent Pattiz said to a colleague.",Link,,,"10/21/2017 10:00:33 AM"," ",10023,6929,0,22867,15987,0,475,446,565,2,2,5738,2427,0,0,285,0,0,0,0,0,0,0,0,0,0,9,84,1,11,99,4,123,369,,176,389,,2,,2,
882604215147359_1651173714957068,https://www.facebook.com/thetritonnews/posts/1651173714957068,"For the new freshmen and transfers out there trying to figure out UCSD’s food scene, this is for you.",Link,,,"10/20/2017 11:00:49 AM"," ",8731,7713,0,24554,19237,0,495,465,550,2,2,5751,2319,0,0,281,0,0,0,0,0,0,0,0,0,0,1,43,2,1,43,3,92,417,,116,434,,2,,2,
882604215147359_1650990731642033,https://www.facebook.com/thetritonnews/posts/1650990731642033,"In addition to the drastic changes in liquor law and drug abuse actions, the report indicated an increase in hate crimes, with three reported hate crimes on campus compared to zero in both 2014 and 2015.",Link,,,"10/20/2017 09:01:22 AM"," ",7902,7508,0,18511,17549,0,212,199,245,2,2,5363,2258,0,0,173,0,0,0,0,0,0,0,0,0,0,,27,4,,28,5,97,115,,127,118,,2,,2,
882604215147359_1650068735067566,https://www.facebook.com/thetritonnews/posts/1650068735067566,"The arcade, which is free, is open 24/7 and features an air hockey table, Rave Racing, Strike Fighter, and Ms. Pac-Man.",Link,,,"10/19/2017 01:00:57 PM"," ",10756,7885,0,25212,18894,0,534,478,609,0,0,5799,2379,0,0,331,0,0,0,0,0,0,0,0,0,0,8,107,10,8,112,12,234,306,,289,320,,,,,
882604215147359_1649827568425016,https://www.facebook.com/thetritonnews/posts/1649827568425016,"The Marine Conservation Facility will compose of eight new teaching and research labs as well as a multi-purpose outdoor space, rooftop cafe, and two large-stepped terraces for special events.",Link,,,"10/19/2017 09:01:09 AM"," ",6706,6269,0,14273,13363,0,192,164,222,0,0,4751,2113,0,0,154,0,0,0,0,0,0,0,0,0,0,1,59,2,1,59,2,118,71,,146,76,,,,,
882604215147359_1648623328545440,https://www.facebook.com/thetritonnews/posts/1648623328545440,"Other stores slated to open this year include shops such as Vineyard Vines and Allen Edmonds and restaurants such as Shake Shack, Din Tai Fung, and True Food Kitchen.",Link,,,"10/18/2017 09:00:38 AM"," ",10135,8243,0,23526,19994,0,494,454,603,0,0,6015,2507,0,0,333,0,0,0,0,0,0,0,0,0,0,2,61,25,2,63,36,213,306,,282,321,,,,,
882604215147359_1647181295356310,https://www.facebook.com/thetritonnews/posts/1647181295356310,"Professor Knight holds appointments in both the departments of Pediatrics and Computer Science.",Link,,,"10/17/2017 09:00:36 AM"," ",5795,5513,0,12969,12458,0,82,56,62,0,0,4127,1799,0,0,68,0,0,0,0,0,0,0,0,0,0,2,35,,2,36,,12,46,,15,47,,,,,
882604215147359_1646043908803382,https://www.facebook.com/thetritonnews/posts/1646043908803382,"Staff at the Financial Aid Office provided the student with a code name: “Michael Myers,” in reference to the primary villain in the Halloween movie series who stalks and kills teenage babysitters.",Link,,,"10/16/2017 09:15:41 AM"," ",19182,8774,0,40783,19547,0,2418,2335,3995,1,1,6872,2738,0,0,825,0,0,0,0,0,0,0,0,0,0,23,244,27,27,271,35,1440,1580,,2283,1712,,1,,1,
882604215147359_1646010475473392,https://www.facebook.com/thetritonnews/posts/1646010475473392,"The team developed “a spasticity evaluation glove” called Handske.",Link,,,"10/16/2017 09:01:06 AM"," ",7268,6768,0,15072,14284,0,111,85,119,0,0,4104,1870,0,0,73,0,0,0,0,0,0,0,0,0,0,2,39,5,2,42,9,37,61,,54,65,,,,,
882604215147359_1642667195807720,https://www.facebook.com/thetritonnews/posts/1642667195807720,"“By the time we move out, it’ll be around midterm week, and juggling school work and housing will just be too much to handle. That’s the worst part.”",Link,,,"10/13/2017 01:35:54 PM"," ",20338,10419,0,47997,21562,0,2172,2060,3206,2,2,7081,2591,0,0,741,0,0,0,0,0,0,0,0,0,0,17,256,32,18,295,50,1029,1408,,1673,1533,,2,,2,
882604215147359_1642371815837258,https://www.facebook.com/thetritonnews/posts/1642371815837258,"Former Vice President Al Gore will speak to students via webcast in Price Center Theatre on Oct. 26 at 3:30 p.m. for John Muir College’s 50th anniversary.",Link,,,"10/13/2017 09:00:32 AM"," ",7376,6459,0,13941,12147,0,217,156,204,1,1,4431,1969,0,0,179,0,0,0,0,0,0,0,0,0,0,5,101,4,5,105,4,113,58,,145,59,,,1,,1
882604215147359_1639103182830788,https://www.facebook.com/thetritonnews/posts/1639103182830788,"&quot;University campuses are frequently referred to as bubbles. As a student attending university, I can attest to this feeling. I feel protected, removed, and secure from the outside world. But recently this has changed. As I make my way down Library Walk, I am on edge.&quot;",Link,,,"10/10/2017 03:00:50 PM"," ",10987,9362,0,22738,19857,0,391,378,608,1,1,4583,2033,0,0,237,0,0,0,0,0,0,0,0,0,0,3,46,7,3,48,18,237,184,,410,198,,1,,1,
882604215147359_1631841356890304,https://www.facebook.com/thetritonnews/posts/1631841356890304,"”Too many people arrive at the Regents meeting in a private jet. And they do not recognize what it’s like to be a machinist’s daughter or a plumber’s son,” Eastin said.",Link,,,"10/04/2017 09:00:57 AM"," ",6133,4417,0,11784,7439,0,269,237,389,0,0,4645,2049,0,0,195,0,0,0,0,0,0,0,0,0,0,7,73,2,7,94,2,135,134,,235,154,,,,,
882604215147359_1930077703925704,https://www.facebook.com/events/1930077703925704/,"The Triton is back, and better than ever! Old staff and new or prospective folks, come by The Loft so we can meet and mingle and  get to know each other. We can chat about what The Triton is, and what's coming up this year - it will be a great time. 

For those of you who haven't been there yet, The Loft is on the second floor of Price Center, next to the Cross-Cultural Center. Post in this group or message our Editor, Jaz Twersky, if you have any questions.",Status,,,"10/03/2017 12:24:35 PM"," ",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
882604215147359_1623627404378366,https://www.facebook.com/thetritonnews/posts/1623627404378366,"“Within the walls of the same institution that students of color rely on to protect their civil rights, congressional interns of color struggle to find coworkers who share their racial identities.” - Vaishnavi Paudel",Link,,,"09/27/2017 09:01:33 AM"," ",18922,4674,0,33873,8092,0,1266,1091,1520,1,1,4493,2049,0,0,341,0,0,0,0,0,0,0,0,0,0,23,335,5,23,368,9,754,507,,973,547,,1,,1,
882604215147359_1618838471523926,https://www.facebook.com/thetritonnews/posts/1618838471523926,"The document, sent to his colleague by the China Scholarship Council (CSC), indicates that the Ministry of Education will no longer approve funding for visiting scholars to travel to UCSD if they do not already have a visa interview scheduled.",Link,,,"09/22/2017 03:41:04 PM"," ",6400,1408,0,13527,2765,0,866,798,1230,0,0,5012,1910,0,0,454,0,0,0,0,0,0,0,0,0,0,18,142,5,18,180,5,568,327,,854,376,,,,,
882604215147359_1616501765090930,https://www.facebook.com/thetritonnews/posts/1616501765090930,"Luke Christopher and Mating Ritual will perform at this year’s Fall Y’all Festival on Sunday, Sept. 24th.",Link,,,"09/20/2017 11:53:13 AM"," ",1311,822,0,2420,1516,0,123,108,140,0,0,1723,910,0,0,101,0,0,0,0,0,0,0,0,0,0,3,22,3,3,24,3,72,57,,79,61,,,,,
882604215147359_1614496531958120,https://www.facebook.com/thetritonnews/posts/1614496531958120,"Students Rally For Replaced UCLA Valet Workers at Regents Meeting | THE TRITON",Link,,,"09/18/2017 02:32:57 PM"," ",2749,1343,0,5359,2473,0,301,262,338,1,1,3185,1476,0,0,184,0,0,0,0,0,0,0,0,0,0,2,65,2,2,79,3,59,215,,113,225,,,1,,1
882604215147359_1614230978651342,https://www.facebook.com/thetritonnews/posts/1614230978651342,"&quot;People have always used profane language, but profanity has been allowed to have this taboo status because of the appearance that people weren’t using it,&quot; said Professor Ben Bergen.",Link,,,"09/18/2017 09:01:01 AM"," ",1155,958,0,1925,1578,0,66,56,61,0,0,1562,945,0,0,58,0,0,0,0,0,0,0,0,0,0,,20,,,20,,16,42,,19,42,,,,,
882604215147359_1608721942535579,https://www.facebook.com/thetritonnews/posts/1608721942535579,"“In these times of fear and uncertainty, let’s remember to fight oppression not just in our institutions, but at the level of our psyches, too.” - Nathaniel Imel",Link,,,"09/13/2017 08:16:05 AM"," ",1514,943,0,2968,1711,0,107,95,174,0,0,2022,998,0,0,75,0,0,0,0,0,0,0,0,0,0,4,27,4,4,34,4,48,65,,98,76,,,,,
882604215147359_1603538543053919,https://www.facebook.com/thetritonnews/posts/1603538543053919,"The UC system has an estimated 4,000 undocumented students.",Link,,,"09/08/2017 01:12:24 PM"," ",8254,1232,0,15106,2328,0,667,441,682,0,0,4701,1825,0,0,333,0,0,0,0,0,0,0,0,0,0,24,321,1,24,354,1,260,227,,397,285,,,,,
882604215147359_1594791513928622,https://www.facebook.com/thetritonnews/posts/1594791513928622,"“Show them that we’re the more intelligent school,&quot; said College Republicans at UCSD Chair Jerry Shen. &quot;I’m not going to demand that you guys disavow what happened in Barcelona, but if you guys did that would show that you’re that much better than SDSU.&quot;",Link,,,"08/31/2017 12:57:03 PM"," ",13412,1626,0,28520,3122,0,2587,2518,5865,1,1,5749,2316,0,0,741,0,0,0,0,0,0,0,0,0,0,22,271,87,25,322,211,2172,926,,4826,1039,,1,,1,
882604215147359_1586328958108211,https://www.facebook.com/thetritonnews/posts/1586328958108211,"All three are expected to open before classes begin on September 28.",Link,,,"08/24/2017 12:06:19 PM"," ",15336,1830,0,26983,3504,0,1487,1143,1902,5,5,6503,2587,0,0,583,0,0,0,0,0,0,0,0,0,0,20,465,179,21,505,226,703,672,,1131,771,,5,,5,
882604215147359_1571777126230061,https://www.facebook.com/thetritonnews/posts/1571777126230061,"&quot;Women like me who dress this way have chosen to do so. Women like me dress this way because we value our bodies,&quot; writes Nora Yagolnitser.",Link,,,"08/18/2017 01:35:16 PM"," ",3103,1739,0,6413,3379,0,412,387,606,0,0,3632,1737,0,0,255,0,0,0,0,0,0,0,0,0,0,1,62,6,1,69,8,218,272,,303,303,,,,,
882604215147359_1569944336413340,https://www.facebook.com/thetritonnews/posts/1569944336413340,"The Regents of the University of California will pay approximately $1.3 million in back wages and damages after it was discovered that a system error resulted in small miscalculations of overtime pay for around 13,700 UC employees.",Link,,,"08/17/2017 11:37:57 AM"," ",6316,1902,0,11125,3600,0,773,683,973,0,0,4511,2082,0,0,425,0,0,0,0,0,0,0,0,0,0,9,167,17,9,173,19,449,286,,663,310,,,,,
882604215147359_1550898514984589,https://www.facebook.com/thetritonnews/posts/1550898514984589,"“What a great human experience,” Brandl says. “To create something from nothing.”",Link,,,"08/03/2017 09:01:07 AM"," ",3607,1483,0,6990,2888,0,460,342,462,1,1,3784,1682,0,0,255,0,0,0,0,0,0,0,0,0,0,11,167,13,12,215,16,131,250,,196,266,,1,,1,
882604215147359_1523424767731964,https://www.facebook.com/thetritonnews/posts/1523424767731964,"Statement Regarding Incident at Merced from AS Office of External Affairs at UCM, UCSD, &amp; UCI | THE TRITON",Link,,,"07/12/2017 08:39:28 PM"," ",6236,1698,0,11166,3011,0,728,687,832,0,0,4215,2003,0,0,392,0,0,0,0,0,0,0,0,0,0,24,100,5,25,108,5,91,657,,128,704,,,,,
882604215147359_1521555064585601,https://www.facebook.com/thetritonnews/posts/1521555064585601,"“It is in the spirit of Stonewall that we recognize the battle for LGBTQ equality did not begin or end with the fight for marriage rights.” - Daniel Firoozi",Link,,,"07/11/2017 09:01:11 AM"," ",2057,1008,0,3493,1836,0,122,91,118,0,0,2203,1131,0,0,97,0,0,0,0,0,0,0,0,0,0,2,43,,2,46,,37,66,,48,70,,,,,
882604215147359_1510265112381263,https://www.facebook.com/thetritonnews/posts/1510265112381263,"The Triton shared UC San Diego's live video.",SharedVideo,,,"07/03/2017 03:53:37 PM"," ",1284,1245,0,2346,2288,0,74,72,95,0,0,2258,1229,0,0,73,0,0,0,0,495,531,0,0,0,8276031,,4,,,4,,72,,,95,,,,,,
882604215147359_1486673311407110,https://www.facebook.com/thetritonnews/posts/1486673311407110,"The Board of Regents obviously are stewards of the university, but are not ensuring the proper policies and procedures to be good neighbors in the La Jolla area.",Link,,,"06/14/2017 09:01:25 AM"," ",2301,1623,0,4209,3363,0,291,284,345,0,0,3316,1595,0,0,253,0,0,0,0,0,0,0,0,0,0,,17,1,,18,1,66,254,,88,259,,,,,
882604215147359_1485328604874914,https://www.facebook.com/thetritonnews/posts/1485328604874914,"“Students are lazy and they don’t really want to commute, so it’s a real big challenge.” — HDH Director Mark Cunningham",Link,,,"06/13/2017 09:00:21 AM"," ",12501,1408,0,26585,2638,0,1610,1543,2384,1,1,5470,2152,0,0,687,0,0,0,0,0,0,0,0,0,0,34,288,16,42,385,21,817,1102,,1189,1195,,1,,1,
882604215147359_1484109504996824,https://www.facebook.com/thetritonnews/posts/1484109504996824,"“It’s basically a hot glue gun on motors.”",Link,,,"06/12/2017 09:00:32 AM"," ",2884,1673,0,4972,3249,0,253,222,295,0,0,3237,1670,0,0,191,0,0,0,0,0,0,0,0,0,0,1,58,5,1,58,5,110,146,,143,152,,,,,
882604215147359_1480976331976808,https://www.facebook.com/thetritonnews/posts/1480976331976808,"“This is absolutely an important thing, that we show allyship and also get our own stories out there,” said co-director Ryan De Leon. “There are a lot of things that cannot be shared within male spaces.”",Link,,,"06/09/2017 05:02:30 PM"," ",7867,1575,0,15319,3239,0,1098,1039,3023,1,1,4797,1892,0,0,413,0,0,0,0,0,0,0,0,0,0,7,175,9,7,198,17,861,440,,2548,475,,1,,1,
882604215147359_1469106913163750,https://www.facebook.com/thetritonnews/posts/1469106913163750:0,"&quot;Students today can't afford to stay ignorant on what's going on on our campus. Tuition is going up, resources are being stripped away. As students, we need to hold our university accountable. I report the news to help amplify student voices and to cover events that affect the entire campus. Prior to The Triton, I had no experience in journalism. It’s still mind blowing to see my articles being published and reaching beyond our campus. Seeing my drafts being ripped apart by my editors hurts my soul a little bit sometimes, but it’s always rewarding to see my personal improvement. I am proud to be part of such a brilliant group that works selflessly and endlessly to uncover the truth and to reflect the current climate of our campus. In the era of fake news, all we can look to is honest, ethical journalism.&quot;

Sylvia O (News Staff Writer)
Apply to The Triton for 2017-18: triton.news/jobs/",Photo,,,"06/09/2017 03:11:03 PM"," ",6101,3808,0,9880,6141,0,455,417,638,0,0,3513,1744,0,0,236,0,0,0,0,0,0,0,0,0,0,2,110,6,3,128,7,371,10,77,477,10,151,,,,
882604215147359_1480559368685171,https://www.facebook.com/thetritonnews/posts/1480559368685171,"“We want a space where you can see that we exist here. We demand to be taken seriously. And we demand to not be discriminated against.&quot;",Link,,,"06/09/2017 09:00:46 AM"," ",4120,1134,0,7298,2185,0,300,234,340,0,0,3313,1526,0,0,191,0,0,0,0,0,0,0,0,0,0,10,122,1,11,151,1,113,168,,155,185,,,,,
882604215147359_1479786258762482,https://www.facebook.com/thetritonnews/posts/1479786258762482,"“Planning should begin immediately for Seventh College, with the goal that Eighth College follow within two years.”",Link,,,"06/08/2017 03:35:27 PM"," ",10721,1801,0,17868,3683,0,1360,1242,1619,1,1,5024,2335,0,0,678,0,0,0,0,0,0,0,0,0,0,12,202,19,12,216,22,612,825,,757,862,,,1,,1
882604215147359_1479456128795495,https://www.facebook.com/thetritonnews/posts/1479456128795495,"Past winners of the Entrepreneur Challenge have grown into companies that are now collectively worth over $1.2 billion.",Link,,,"06/08/2017 09:00:19 AM"," ",2068,1162,0,3338,2187,0,111,91,109,0,0,2150,1147,0,0,84,0,0,0,0,0,0,0,0,0,0,1,31,,1,31,,17,81,,21,88,,,,,
882604215147359_1478674785540296,https://www.facebook.com/thetritonnews/posts/1478674785540296,"“None of us are CS majors, and we had to learn everything,” said one the event’s participants in passing about her team. “We wasted 6 hours from the program crashing, but the mentor helped us out until 5 am in the morning.”",Link,,,"06/07/2017 04:02:57 PM"," ",10437,1857,0,17591,3678,0,1058,898,1365,1,1,4453,2044,0,0,396,0,0,0,0,0,0,0,0,0,0,10,335,19,10,374,27,683,371,,968,397,,1,,1,
882604215147359_1478537242220717,https://www.facebook.com/thetritonnews/posts/1478537242220717,"&quot;Hearing over 100 people laughing and crying and holding hands all together at once is a magical experience, especially for people who are still struggling to feel safe in day-to-day life.” - Kayla Edwardsen, Co-Chair of QUERC.",Link,,,"06/07/2017 01:01:35 PM"," ",1051,747,0,1886,1357,0,62,42,57,0,0,1601,838,0,0,58,0,0,0,0,0,0,0,0,0,0,,26,,,26,,25,22,,35,22,,,,,
882604215147359_1478330255574749,https://www.facebook.com/thetritonnews/posts/1478330255574749,"UCSD to Offer Data Science Major and Minor Fall 2017 | THE TRITON",Link,,,"06/07/2017 09:02:54 AM"," ",14828,2246,0,22248,4450,0,1324,1178,1657,1,1,4946,2366,0,0,575,0,0,0,0,0,0,0,0,0,0,12,287,50,12,287,67,747,616,,990,667,,1,,1,
882604215147359_1477105232363918,https://www.facebook.com/thetritonnews/posts/1477105232363918,"Though UC San Diego is one of the top schools making an effort to admit low-income students, ranked fourth on The New York Times College Access Index, the campus is following a national trend away from reflecting economic diversity.",Link,,,"06/06/2017 09:00:57 AM"," ",3654,1218,0,6988,2445,0,362,320,394,0,0,3505,1601,0,0,227,0,0,0,0,0,0,0,0,0,0,5,76,1,5,89,1,224,127,,262,132,,,,,
882604215147359_1469221323152309,https://www.facebook.com/thetritonnews/posts/1469221323152309:0,"&quot;No comment.&quot;

Shine Cho (Managing Editor)
Apply to The Triton for 2017-18: triton.news/jobs/",Photo,,,"06/05/2017 07:31:04 PM"," ",4635,3334,0,7618,5869,0,278,244,425,5,5,3397,1763,0,0,180,0,0,0,0,0,0,0,0,0,0,,73,5,,74,5,143,38,90,187,39,199,1,4,1,4
882604215147359_1469220986485676,https://www.facebook.com/thetritonnews/posts/1469220986485676:0,"&quot;I joined The Triton because I wanted to be part of a group that was speaking up and confronting the truth of the university, and that's still why I'm here. To me, being editor-in-chief means I've been entrusted with keeping this organization going, and more than that, keeping it growing It has helped me stay informed about what's going on around me. Working here has kept me critical of events that happen, but also inspired by the work students do and the persistent curiosity of our reporters. It's shaped how I've thought of my future. I hope that journalism becomes more a part of our campus culture, so that people anticipate both being held accountable, and being able to have their hard work recognized.&quot;

Jaz Twersky (2017-18 Editor-in-Chief)
Apply to The Triton for 2017-18: triton.news/jobs/",Photo,,,"06/05/2017 11:25:40 AM"," ",4724,3299,336,7918,5925,335,195,139,213,1,1,3367,1670,156,156,146,0,0,0,0,0,0,0,0,0,0,,89,,,90,,96,20,37,112,20,81,,1,,1
