"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Post Consumers","Lifetime Post Consumptions","Lifetime Negative feedback","Lifetime Negative Feedback from Users","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post consumers by type - other clicks","Lifetime Post consumers by type - photo view","Lifetime Post consumers by type - link clicks","Lifetime Post Consumptions by type - other clicks","Lifetime Post Consumptions by type - photo view","Lifetime Post Consumptions by type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative feedback - hide_all_clicks","Lifetime Negative feedback - hide_clicks"
,,,,,,,,"Lifetime: The total number of people your Page post was served to. (Unique Users)","Lifetime: The number of people who saw your Page post in news feed or ticker, or on your Page's timeline. (Unique Users)","Lifetime: The number of people your advertised Page post was served to. (Unique Users)","Lifetime: The number of impressions of your Page post. (Total Count)","Lifetime: The number of impressions of your post in News Feed or ticker or on your Page's Timeline. (Total Count)","Lifetime: The number of impressions of your Page post in an Ad or Sponsored Story. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who clicked anywhere in your post. (Unique Users)","Lifetime: The number of clicks anywhere in your post. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who clicked anywhere in your post, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in your post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
882604215147359_1712351682172604,https://www.facebook.com/thetritonnews/posts/1712351682172604,"&quot;It baffles me that there is student space and organization that we are not holding to the same standards administration has been held to,” said ASUCSD External Vice President Refilwe Gqajela.",Link,,,"12/04/2017 09:01:01 AM"," ",3630,2113,0,7288,4107,0,682,664,1044,0,0,4402,2152,0,0,478,0,0,0,0,0,0,0,0,0,0,100,10,10,108,10,11,371,,445,577,,467,,,,
882604215147359_1707893762618396,https://www.facebook.com/thetritonnews/posts/1707893762618396,"&quot;Those who are famous are often placed on a pedestal, viewed as being immune to common, everyday struggles. This is a false belief, however, evidenced by celebrities like Kurt Cobain, MC Capital Steez, and Chester Bennington from Linkin Park—all of whom have fallen victim to suicide.&quot;",Link,,,"12/01/2017 09:01:06 AM"," ",1011,975,0,1888,1794,0,55,46,52,0,0,1787,956,0,0,49,0,0,0,0,0,0,0,0,0,0,14,3,,15,3,,9,,39,10,,42,,,,
882604215147359_1707062799368159,https://www.facebook.com/thetritonnews/posts/1707062799368159,"Dean of Engineering Albert Pisano wrote in an email that should the perpetrator be identified, they will face appropriate sanctions.",Link,,,"11/30/2017 08:00:53 PM"," ",2514,1422,0,5353,2637,0,443,422,542,0,0,3878,1677,0,0,348,0,0,0,0,0,0,0,0,0,0,47,2,,50,2,,51,,390,88,,454,,,,
882604215147359_1706693859405053,https://www.facebook.com/thetritonnews/posts/1706693859405053,"If the tax bill passes, a graduate student who receives a stipend between $16,000 and $34,000 may have to pay as much as $8,000 more in taxes each year.",Link,,,"11/30/2017 02:00:59 PM"," ",3795,1584,0,7614,3174,0,448,383,555,0,0,4224,1837,0,0,334,0,0,0,0,0,0,0,0,0,0,127,9,3,142,9,3,232,,197,332,,223,,,,
882604215147359_1706397832767989,https://www.facebook.com/thetritonnews/posts/1706397832767989,"&quot;I've finally found peace in this lion's den. I've found security and struggle. I've found courage and spontaneity. But most importantly, I've found beauty. I've found myself.”",Link,,,"11/30/2017 09:00:55 AM"," ",1562,1243,0,3152,2405,0,176,162,226,0,0,2447,1247,0,0,133,0,0,0,0,0,0,0,0,0,0,52,2,3,56,2,3,62,,127,95,,131,,,,
882604215147359_1703994679674971,https://www.facebook.com/thetritonnews/posts/1703994679674971,"In a study that was recently accepted for publication, Dr. Alysson Muotri’s group and their collaborators found that Chloroquine, an FDA-approved drug used to treat and prevent malaria, can be used to protect against the Zika virus.",Link,,,"11/28/2017 04:01:10 PM"," ",1619,1212,0,3066,2222,0,119,73,109,0,0,2242,1198,0,0,100,0,0,0,0,0,0,0,0,0,0,64,6,5,64,8,5,46,,38,68,,41,,,,
882604215147359_1701815616559544,https://www.facebook.com/thetritonnews/posts/1701815616559544,"We are looking to highlight faculty members and students with interesting pastimes, unique stories, or impressive accomplishments on our Instagram! So send us a message by clicking the button below!",Photo,,,"11/27/2017 02:05:34 PM"," ",849,556,0,1698,908,0,49,40,52,0,0,1021,569,0,0,27,0,0,0,0,0,0,0,0,0,0,14,2,,16,2,,19,22,,23,29,,,,,
882604215147359_1701706633237109,https://www.facebook.com/thetritonnews/posts/1701706633237109,"UC San Diego will join the Big West Conference along with Cal State Bakersfield.",Link,,,"11/27/2017 12:18:04 PM"," ",14387,1668,0,29894,2900,0,1648,1398,2044,0,0,5571,2357,0,0,597,0,0,0,0,0,0,0,0,0,0,464,46,28,489,48,34,662,,912,991,,1053,,,,
882604215147359_1701537273254045,https://www.facebook.com/thetritonnews/posts/1701537273254045,"Submission: Let's Build Community Together",Link,,,"11/27/2017 09:03:52 AM"," ",1039,1026,0,1911,1859,0,92,87,94,0,0,1856,1006,0,0,90,0,0,0,0,0,0,0,0,0,0,13,,,13,,,8,,83,9,,85,,,,
882604215147359_1693854897355616,https://www.facebook.com/thetritonnews/posts/1693854897355616,"Nineteen students, one undergraduate and one graduate student per UC campus, will serve as board members.",Link,,,"11/22/2017 09:19:41 PM"," ",1531,1495,0,2944,2887,0,162,142,160,2,2,2838,1462,0,0,155,0,0,0,0,0,0,0,0,0,0,37,1,,37,1,,23,,123,28,,132,1,1,1,1
882604215147359_1691757430898696,https://www.facebook.com/thetritonnews/posts/1691757430898696,"&quot;Hillel International’s Israel Guidelines and its partnership with Mosaic do not simply exclude Jewish community members based on their political views—they redefine diasporic Jewish identity itself.&quot;",Link,,,"11/21/2017 09:00:47 AM"," ",3230,1420,0,6293,2487,0,439,424,698,0,0,2928,1454,0,0,220,0,0,0,0,0,0,0,0,0,0,57,5,10,76,6,21,280,,236,430,,268,,,,
882604215147359_1690516011022838,https://www.facebook.com/thetritonnews/posts/1690516011022838,"19 of the 20 highest paid employees at UCSD in 2016 were male doctors, led by Robert Weinreb, a renowned ophthalmologist and expert in glaucoma.",Link,,,"11/20/2017 09:00:44 AM"," ",6521,5795,0,11062,9403,0,635,611,920,0,0,4605,2202,0,0,504,0,0,0,0,0,0,0,0,0,0,52,4,9,53,4,11,374,,372,536,,384,,,,
882604215147359_1688458027895303,https://www.facebook.com/thetritonnews/posts/1688458027895303,"UCSD’s ArtPower has brought David Sedaris to San Diego multiple times; with the release of Sedaris’ new book “Theft By Finding,” released this past May, a 2017 appearance by Sedaris was highly anticipated.",Link,,,"11/18/2017 07:51:27 PM"," ",7245,6966,0,14117,13637,0,42,30,39,0,0,3576,1711,0,0,35,0,0,0,0,0,0,0,0,0,0,25,1,,32,2,,15,,19,19,,20,,,,
882604215147359_1686711178069988,https://www.facebook.com/thetritonnews/posts/1686711178069988,"&quot;Set against the backdrop of Taiwan’s 2008 Cross-Strait (Taiwan-China) political turbulence, Ying-Ting Tseng’s romantic melodrama tells a heartbreaking but stunning story of lives destroyed by fear.&quot;",Link,,,"11/17/2017 05:01:12 PM"," ",7483,7385,0,15874,15620,0,64,56,66,1,1,4162,1823,0,0,54,0,0,0,0,0,0,0,0,0,0,21,1,,24,1,,27,,33,30,,36,,1,,1
882604215147359_1686636748077431,https://www.facebook.com/thetritonnews/posts/1686636748077431,"&quot;When we talk about the n-word, non-Black people need to take a step back and listen.&quot;",Link,,,"11/17/2017 03:22:12 PM"," ",15824,7177,0,35399,14674,0,1801,1601,2822,1,1,7403,2667,0,0,646,0,0,0,0,0,0,0,0,0,0,420,77,25,538,83,37,658,,1303,1222,,1600,,1,,1
882604215147359_1686310158110090,https://www.facebook.com/thetritonnews/posts/1686310158110090,"“Do you care as much as you ought? Do you love as fiercely as you could? Well, why the hell not?”",Link,,,"11/17/2017 09:51:36 AM"," ",7551,7539,0,15590,15579,0,115,104,113,0,0,4340,1872,0,0,114,0,0,0,0,0,0,0,0,0,0,19,,,20,,,11,,97,13,,100,,,,
882604215147359_1685355241538915,https://www.facebook.com/thetritonnews/posts/1685355241538915,"In 2003, Jacobs donated $110 million to the school to support scholarships and fellowships.",Link,,,"11/16/2017 04:35:11 PM"," ",7299,6890,0,14636,13904,0,68,59,69,0,0,4259,1818,0,0,61,0,0,0,0,0,0,0,0,0,0,18,1,,21,1,,18,,47,20,,49,,,,
